Role,Company,Location,Salary,Link
Software Developer,Aebocode Technologies,"Panchkula, Haryana","₹5,00,000 a year",https://www.indeed.co.in/rc/clk?jk=882b171219b4a3b7&bb=G_mIpilrr4bfHuXswTBvRnq4aWimxR-M74WRIkKurgKu3Tl5KWY507d83rkAw5qfLwJhwcK9XujCZw8o4DB-uRbCdal8qjKgvyZjk6HLw89xiuRdKgR0AA%3D%3D&xkcb=SoD767M3CKWdyoQsVx0LbzkdCdPP&fccid=0c36302023906d67&cmp=Aerobotics-Global&ti=Software+Engineer&vjs=3
"Developer (Java, Spring Boot, Javascript)",SAP,"Bengaluru, Karnataka",Full-time +1,https://www.indeed.co.in/rc/clk?jk=29bd6f9f1c36d18b&bb=G_mIpilrr4bfHuXswTBvRnaT79TLGJ5CQOtxvu6L2oNoLA0kwWx_T0JfIlUlMqhd7WyXf_XwPpVzgX0QEgYKUKyQzhtJhTpdubplrhsLKH0%3D&xkcb=SoBP67M3CKWdyoQsVx0KbzkdCdPP&fccid=156c7820d1988640&vjs=3
Applications Developer II - Google Apps,Uber,"Hyderabad, Telangana",Full-time,https://www.indeed.co.in/rc/clk?jk=da8e4917e7213843&bb=G_mIpilrr4bfHuXswTBvRuW24GpA6KDVejb1Rk2Q63A4WTkViM5tVx_7Ddl_SOaTrL8xjlS_ZNahIR7Pe9Z7EQXdG-Hr9DkWkfWNDJ5ibr9STzPjCn2Jfw%3D%3D&xkcb=SoDS67M3CKWdyoQsVx0JbzkdCdPP&fccid=f766f8bfbc3effb7&vjs=3
Python Developers,BRIDGE Global,India,Not mentioned,https://www.indeed.co.in/rc/clk?jk=d6df4df1920bc45b&bb=G_mIpilrr4bfHuXswTBvRjAbE5A6gYECp6ZergQwJtyGz38Jd6LrNFw76M4bwfhROLYU8hxvWMGwOFzTrNhCzxTUB7ldDB_i_K97ryl-HnmQUwJAdB7Nzw%3D%3D&xkcb=SoBm67M3CKWdyoQsVx0IbzkdCdPP&fccid=bcfc9b4d41cc6cd6&vjs=3
Python Full Stack Developer,"Cytel, India",India,Not mentioned,https://www.indeed.co.in/rc/clk?jk=419c568643cf1dc9&bb=G_mIpilrr4bfHuXswTBvRq4JyzM-TT1Hh45CLwhgtUyNFy3ev-h2V3tUl1sZzsodiW3Mf1xSymOlgSq_modsQ2ZhmWTrjQzz5TAmMthFZbreH5WnLP4Idg%3D%3D&xkcb=SoDo67M3CKWdyoQsVx0PbzkdCdPP&fccid=0ca0607c69909b05&vjs=3
Python Full Stack Developer,DataOrb,Remote,Full-time +1,https://www.indeed.co.in/rc/clk?jk=87bbb5cc4c384a0c&bb=G_mIpilrr4bfHuXswTBvRrevvXRnJf1MvtcX3tEK6trq9O8BWSNA4VJzUBVoWqvNz38R_QzxKMpfF4q0avpg9_gDxT6bXbIvGlUmP7-J5YUy4IqLS6fPNw%3D%3D&xkcb=SoBc67M3CKWdyoQsVx0ObzkdCdPP&fccid=ba6af0879c888909&cmp=DataOrb&ti=Full+Stack+Developer&vjs=3
Software Engineer,GE HEALTHCARE,"Bengaluru, Karnataka",Not mentioned,https://www.indeed.co.in/rc/clk?jk=30d4cb34edf58b3f&bb=G_mIpilrr4bfHuXswTBvRqtX1i9Oaaz00_sDxMCVDmt_rsR96hmd2QNfIlgi81g5NvKo6VnUbcNZOzJx-7ysg6EPdNqpPB7_yHA_j-I5isDdpv2ukJjDDw%3D%3D&xkcb=SoDB67M3CKWdyoQsVx0NbzkdCdPP&fccid=65b5f2aba4dbd31f&vjs=3
Web Developer - Experienced,HR Recruitment Firm,"Nagercoil, Tamil Nadu","₹10,000 - ₹25,000 a month",https://www.indeed.co.in/rc/clk?jk=5fe7318e8b6e23df&bb=G_mIpilrr4bfHuXswTBvRvmwsj95VB6uOuIg_k3G8CYB-EbmNSrfQxWLaJfkjWqL3wCAvXp-5mYWySNGHPAW1TxONt6InfAEoBylmfcbAbAdYyrz5vrJVw%3D%3D&xkcb=SoB167M3CKWdyoQsVx0MbzkdCdPP&fccid=23059b9553273e62&cmp=HR-Recruitment-Firm&ti=Web+Developer&vjs=3
Experience Odoo/Python Developer,Browseinfo,"Ahmedabad, Gujarat",Not mentioned,https://www.indeed.co.in/rc/clk?jk=fbeada5665706253&bb=G_mIpilrr4bfHuXswTBvRhiK-0V3q8imE5p9yb028OxiMINzf1jHL8-bkEE6s25qGsBiGrkinNhlXaHrLOIKaU9o1P18zOYhtsEts-ImiVPLPRGMJIDLQw%3D%3D&xkcb=SoCc67M3CKWdyoQsVx0DbzkdCdPP&fccid=fed347952405c65f&vjs=3
Odoo Developer,Enline Enterprises LLP,Remote,"From ₹10,000 a month",https://www.indeed.co.in/rc/clk?jk=2206a5fbb14ef6b8&bb=G_mIpilrr4bfHuXswTBvRhHzwa0bxnclVe22JXxpuVIcRBel5Id71-kCdf8OahqUbUuEa0PqVCSxcqK1rkC2ogzxKsb_9yUM6iH9qLi88w56q25FHSNjOg%3D%3D&xkcb=SoAo67M3CKWdyoQsVx0CbzkdCdPP&fccid=076de43e7b754aaf&cmp=ENLINE-ENTERPRISES&ti=Developer&vjs=3
